Year of Data,STRUCTURE_NUMBER_008,Bridge Health Index (Overall),Bridge Health Index (Deck),Bridge Health Index (Super),Bridge Health Index (Sub)
1995,200000CE0075010,81.5,96.98,79.5,83.5
1996,200000CE0075010,91.01,96.01,90.62,91.41
1997,200000CE0075010,91.01,95.05,90.62,91.41
1998,200000CE0075010,71.61,94.1,90.62,63.83
1999,200000CE0075010,71.61,93.16,90.62,63.83
2000,200000CE0075010,71.61,92.23,90.62,63.83
2001,200000CE0075010,71.61,91.31,90.62,63.83
2002,200000CE0075010,71.61,90.4,90.62,63.83
2003,200000CE0075010,71.61,89.49,90.62,63.83
2004,200000CE0075010,91.01,88.6,90.62,91.41
2005,200000CE0075010,91.01,87.71,90.62,91.41
2006,200000CE0075010,0.0,86.83,90.62,91.41
2007,200000CE0075010,0.0,85.97,90.62,91.41
2008,200000CE0075010,0.0,85.11,90.62,91.41
2009,200000CE0075010,0.0,84.25,90.62,91.41
2010,200000CE0075010,0.0,83.41,90.62,91.41
2011,200000CE0075010,0.0,82.58,90.62,91.41
2012,200000CE0075010,0.0,81.75,90.62,91.41
2013,200000CE0075010,0.0,80.93,90.62,91.41
2014,200000CE0075010,0.0,80.13,90.62,91.41
2015,200000CE0075010,0.0,79.32,90.62,91.41
2016,200000CE0075010,0.0,78.53,90.62,91.41
1995,300000P-NR02010,93.85,94.06,95.25,91.41
1996,300000P-NR02010,93.85,94.06,95.25,91.41
1997,300000P-NR02010,93.85,94.06,95.25,91.41
1998,300000P-NR02010,93.85,94.06,95.25,91.41
1999,300000P-NR02010,96.37,97.96,95.25,95.63
2000,300000P-NR02010,96.37,97.96,95.25,95.63
2001,300000P-NR02010,96.37,97.96,95.25,95.63
2002,300000P-NR02010,96.37,97.96,95.25,95.63
2003,300000P-NR02010,94.9,94.06,95.25,95.63
2004,300000P-NR02010,94.9,94.06,95.25,95.63
2005,300000P-NR02010,94.9,94.06,95.25,95.63
2006,300000P-NR02010,94.9,94.06,95.25,95.63
2007,300000P-NR02010,94.9,94.06,95.25,95.63
2008,300000P-NR02010,94.9,94.06,95.25,95.63
2009,300000P-NR02010,94.9,94.06,95.25,95.63
2010,300000P-NR02010,94.9,94.06,95.25,95.63
2011,300000P-NR02010,94.9,94.06,95.25,95.63
2012,300000P-NR02010,94.9,94.06,95.25,95.63
2013,300000P-NR02010,94.9,94.06,95.25,95.63
2014,300000P-NR02010,94.9,94.06,95.25,95.63
2015,300000P-NR02010,94.9,94.06,95.25,95.63
2016,300000P-NR02010,94.9,94.06,95.25,95.63
2017,300000P-NR02010,93.16,94.06,90.62,95.63
2018,300000P-NR02010,93.16,94.06,90.62,95.63
2019,300000P-NR02010,93.16,94.06,90.62,95.63
2020,300000P-NR02010,93.16,94.06,90.62,95.63
2021,300000P-NR02010,93.16,94.06,90.62,95.63
1999,300000Q-MT01010,70.99,94.06,79.5,63.83
2000,300000Q-MT01010,70.99,94.06,79.5,63.83
2001,300000Q-MT01010,70.99,94.06,79.5,63.83
2002,300000Q-MT01010,70.99,94.06,79.5,63.83
2003,300000Q-MT01010,70.99,94.06,79.5,63.83
2004,300000Q-MT01010,91.08,91.7,90.62,91.41
2005,300000Q-MT01010,91.08,91.7,90.62,91.41
2006,300000Q-MT01010,85.89,91.7,79.5,91.41
2007,300000Q-MT01010,85.89,91.7,79.5,91.41
2008,300000Q-MT01010,85.89,91.7,79.5,91.41
2009,300000Q-MT01010,85.89,91.7,79.5,91.41
2010,300000Q-MT01010,83.55,97.96,79.5,83.5
2011,300000Q-MT01010,83.55,97.96,79.5,83.5
2012,300000Q-MT01010,83.03,94.06,79.5,83.5
2013,300000Q-MT01010,83.03,94.06,79.5,83.5
2014,300000Q-MT01010,83.03,94.06,79.5,83.5
2015,300000Q-MT01010,83.03,94.06,79.5,83.5
2016,300000Q-MT01010,83.03,94.06,79.5,83.5
2017,300000Q-MT01010,83.03,94.06,79.5,83.5
2018,300000Q-MT01010,83.03,94.06,79.5,83.5
2019,300000Q-MT01010,83.03,94.06,79.5,83.5
2020,300000Q-MT01010,83.03,94.06,79.5,83.5
2021,300000Q-MT01010,83.03,94.06,79.5,83.5
1995,300000P-NR01010,96.37,97.96,95.25,95.63
1996,300000P-NR01010,96.37,97.96,95.25,95.63
1997,300000P-NR01010,94.9,94.06,95.25,95.63
1998,300000P-NR01010,94.9,94.06,95.25,95.63
1999,300000P-NR01010,96.62,94.06,99.87,95.63
2000,300000P-NR01010,96.62,94.06,99.87,95.63
2001,300000P-NR01010,98.09,97.96,99.87,95.63
2002,300000P-NR01010,98.09,97.96,99.87,95.63
2003,300000P-NR01010,96.37,97.96,95.25,95.63
2004,300000P-NR01010,96.37,97.96,95.25,95.63
2005,300000P-NR01010,96.37,97.96,95.25,95.63
2006,300000P-NR01010,96.37,97.96,95.25,95.63
2007,300000P-NR01010,96.37,97.96,95.25,95.63
2008,300000P-NR01010,96.37,97.96,95.25,95.63
2009,300000P-NR01010,96.37,97.96,95.25,95.63
2010,300000P-NR01010,96.37,97.96,95.25,95.63
2011,300000P-NR01010,96.37,97.96,95.25,95.63
2012,300000P-NR01010,96.37,97.96,95.25,95.63
2013,300000P-NR01010,96.37,97.96,95.25,95.63
2014,300000P-NR01010,96.37,97.96,95.25,95.63
2015,300000P-NR01010,96.37,97.96,95.25,95.63
2016,300000P-NR01010,96.37,97.96,95.25,95.63
2017,300000P-NR01010,96.37,97.96,95.25,95.63
2018,300000P-NR01010,96.37,97.96,95.25,95.63
2019,300000P-NR01010,96.37,97.96,95.25,95.63
2020,300000P-NR01010,96.37,97.96,95.25,95.63
2021,300000P-NR01010,96.37,97.96,95.25,95.63
1995,300000HOY014010,95.48,97.96,95.25,95.63
1996,300000HOY014010,95.48,97.96,95.25,95.63
1997,300000HOY014010,95.21,94.06,95.25,95.63
1998,300000HOY014010,95.21,94.06,95.25,95.63
1999,300000HOY014010,94.63,91.7,95.25,91.41
2000,300000HOY014010,94.63,91.7,95.25,91.41
2001,300000HOY014010,95.21,94.06,95.25,95.63
2002,300000HOY014010,95.21,94.06,95.25,95.63
2003,300000HOY014010,95.21,94.06,95.25,95.63
2004,300000HOY014010,82.1,94.06,79.5,95.63
2005,300000HOY014010,82.1,94.06,79.5,95.63
2006,300000HOY014010,82.1,94.06,79.5,95.63
2007,300000HOY014010,82.1,94.06,79.5,95.63
2008,300000HOY014010,82.1,94.06,79.5,95.63
2009,300000HOY014010,81.68,94.06,79.5,91.41
2010,300000HOY014010,90.94,94.06,90.62,91.41
2011,300000HOY014010,90.94,94.06,90.62,91.41
2012,300000HOY014010,90.94,94.06,90.62,91.41
2013,300000HOY014010,90.94,94.06,90.62,91.41
2014,300000HOY014010,90.94,94.06,90.62,91.41
2015,300000HOY014010,90.94,94.06,90.62,91.41
2016,300000HOY014010,90.94,94.06,90.62,91.41
2017,300000HOY014010,90.94,94.06,90.62,91.41
2018,300000HOY014010,90.94,94.06,90.62,91.41
2019,300000HOY014010,90.94,94.06,90.62,91.41
2020,300000HOY014010,91.19,91.7,90.62,95.63
2021,300000HOY014010,91.19,91.7,90.62,95.63
1995,300000HOY013010,100.0,100.0,100.0,100.0
1996,300000HOY013010,100.0,100.0,100.0,100.0
1998,300000HOY013010,95.46,97.96,95.25,95.63
1999,300000HOY013010,95.46,97.96,95.25,95.63
2000,300000HOY013010,95.46,97.96,95.25,95.63
2001,300000HOY013010,95.46,97.96,95.25,95.63
2002,300000HOY013010,95.46,97.96,95.25,95.63
2003,300000HOY013010,95.46,97.96,95.25,95.63
2004,300000HOY013010,95.21,97.96,95.25,91.41
2005,300000HOY013010,95.21,97.96,95.25,91.41
2006,300000HOY013010,91.16,97.96,90.62,91.41
2007,300000HOY013010,91.16,97.96,90.62,91.41
2008,300000HOY013010,91.16,97.96,90.62,91.41
2009,300000HOY013010,90.7,97.96,90.62,83.5
2010,300000HOY013010,80.71,94.06,79.5,83.5
2011,300000HOY013010,90.44,94.06,90.62,83.5
2012,300000HOY013010,90.44,94.06,90.62,83.5
2013,300000HOY013010,80.71,94.06,79.5,83.5
2014,300000HOY013010,80.71,94.06,79.5,83.5
2015,300000HOY013010,80.71,94.06,79.5,83.5
2016,300000HOY013010,90.44,94.06,90.62,83.5
2017,300000HOY013010,90.44,94.06,90.62,83.5
2018,300000HOY013010,90.44,94.06,90.62,83.5
2019,300000HOY013010,90.44,94.06,90.62,83.5
2020,300000HOY013010,81.16,94.06,79.5,91.41
2021,300000HOY013010,81.16,94.06,79.5,91.41
1995,300000HOY012010,95.37,97.96,95.25,95.63
1996,300000HOY012010,95.37,97.96,95.25,95.63
1997,300000HOY012010,95.37,97.96,95.25,95.63
1998,300000HOY012010,95.37,97.96,95.25,95.63
1999,300000HOY012010,95.37,97.96,95.25,95.63
2000,300000HOY012010,95.37,97.96,95.25,95.63
2001,300000HOY012010,95.21,97.96,95.25,91.41
2002,300000HOY012010,95.21,97.96,95.25,91.41
2003,300000HOY012010,95.21,97.96,95.25,91.41
2004,300000HOY012010,95.21,97.96,95.25,91.41
2005,300000HOY012010,95.21,97.96,95.25,91.41
2006,300000HOY012010,95.21,97.96,95.25,91.41
2007,300000HOY012010,95.21,97.96,95.25,91.41
2008,300000HOY012010,95.21,97.96,95.25,91.41
2009,300000HOY012010,95.06,94.06,95.25,91.41
2010,300000HOY012010,90.78,94.06,90.62,91.41
2011,300000HOY012010,90.78,94.06,90.62,91.41
2012,300000HOY012010,90.78,94.06,90.62,91.41
2013,300000HOY012010,90.78,94.06,90.62,91.41
2014,300000HOY012010,90.78,94.06,90.62,91.41
2015,300000HOY012010,90.78,94.06,90.62,91.41
2016,300000HOY012010,90.78,94.06,90.62,91.41
2017,300000HOY012010,90.78,94.06,90.62,91.41
2018,300000HOY012010,90.78,94.06,90.62,91.41
2019,300000HOY012010,90.78,94.06,90.62,91.41
2020,300000HOY012010,90.78,94.06,90.62,91.41
2021,300000HOY012010,90.94,94.06,90.62,95.63
1995,300000HOY007012,100.0,100.0,100.0,100.0
1996,300000HOY007012,100.0,100.0,100.0,100.0
1997,300000HOY007012,94.67,94.06,95.25,91.41
1998,300000HOY007012,94.67,94.06,95.25,91.41
1999,300000HOY007012,95.56,97.96,95.25,91.41
2000,300000HOY007012,95.56,97.96,95.25,91.41
2001,300000HOY007012,96.35,99.94,95.25,95.63
2002,300000HOY007012,96.35,99.94,95.25,95.63
2003,300000HOY007012,96.35,99.94,95.25,95.63
2004,300000HOY007012,95.9,97.96,95.25,95.63
2005,300000HOY007012,95.9,97.96,95.25,95.63
2006,300000HOY007012,96.35,99.94,95.25,95.63
2007,300000HOY007012,96.35,99.94,95.25,95.63
2008,300000HOY007012,96.01,99.94,95.25,91.41
2009,300000HOY007012,96.01,99.94,95.25,91.41
2010,300000HOY007012,91.72,97.96,90.62,83.5
2011,300000HOY007012,92.36,97.96,90.62,91.41
2012,300000HOY007012,92.36,97.96,90.62,91.41
2013,300000HOY007012,92.36,97.96,90.62,91.41
2014,300000HOY007012,92.36,97.96,90.62,91.41
2015,300000HOY007012,92.36,97.96,90.62,91.41
2016,300000HOY007012,95.56,97.96,95.25,91.41
2017,300000HOY007012,95.56,97.96,95.25,91.41
2018,300000HOY007012,95.56,97.96,95.25,91.41
2019,300000HOY007012,95.56,97.96,95.25,91.41
2020,300000HOY007012,92.36,97.96,90.62,91.41
2021,300000HOY007012,92.36,97.96,90.62,91.41
1995,300000HOY007011,94.33,94.06,95.25,83.5
1996,300000HOY007011,94.33,94.06,95.25,83.5
1997,300000HOY007011,94.87,94.06,95.25,91.41
1998,300000HOY007011,94.87,94.06,95.25,91.41
1999,300000HOY007011,95.27,97.96,95.25,91.41
2000,300000HOY007011,95.27,97.96,95.25,91.41
2001,300000HOY007011,95.75,99.94,95.25,95.63
2002,300000HOY007011,95.75,99.94,95.25,95.63
2003,300000HOY007011,95.75,99.94,95.25,95.63
2004,300000HOY007011,95.55,97.96,95.25,95.63
2005,300000HOY007011,95.55,97.96,95.25,95.63
2006,300000HOY007011,95.75,99.94,95.25,95.63
2007,300000HOY007011,95.75,99.94,95.25,95.63
2008,300000HOY007011,95.46,99.94,95.25,91.41
2009,300000HOY007011,95.46,99.94,95.25,91.41
2010,300000HOY007011,91.02,94.06,90.62,91.41
2011,300000HOY007011,91.41,97.96,90.62,91.41
2012,300000HOY007011,91.41,97.96,90.62,91.41
2013,300000HOY007011,91.41,97.96,90.62,91.41
2014,300000HOY007011,91.41,97.96,90.62,91.41
2015,300000HOY007011,91.41,97.96,90.62,91.41
2016,300000HOY007011,95.27,97.96,95.25,91.41
2017,300000HOY007011,95.27,97.96,95.25,91.41
2018,300000HOY007011,95.27,97.96,95.25,91.41
2019,300000HOY007011,95.27,97.96,95.25,91.41
2020,300000HOY007011,95.27,97.96,95.25,91.41
2021,300000HOY007011,95.27,97.96,95.25,91.41
1999,300000HOY004010,95.03,94.06,95.25,95.63
2000,300000HOY004010,95.03,94.06,95.25,95.63
2001,300000HOY004010,96.27,97.96,95.25,95.63
2002,300000HOY004010,96.27,97.96,95.25,95.63
2003,300000HOY004010,96.27,97.96,95.25,95.63
2004,300000HOY004010,92.04,94.06,90.62,91.41
2005,300000HOY004010,92.04,94.06,90.62,91.41
2006,300000HOY004010,93.27,97.96,90.62,91.41
2007,300000HOY004010,93.27,97.96,90.62,91.41
2008,300000HOY004010,93.27,94.06,95.25,91.41
2009,300000HOY004010,93.27,94.06,95.25,91.41
2010,300000HOY004010,93.27,94.06,95.25,91.41
2011,300000HOY004010,93.27,94.06,95.25,91.41
2012,300000HOY004010,93.27,94.06,95.25,91.41
2013,300000HOY004010,92.04,94.06,90.62,91.41
2014,300000HOY004010,92.04,94.06,90.62,91.41
2015,300000HOY004010,92.04,94.06,90.62,91.41
2016,300000HOY004010,91.29,91.7,90.62,91.41
2017,300000HOY004010,91.29,91.7,90.62,91.41
2018,300000HOY004010,91.29,91.7,90.62,91.41
2019,300000HOY004010,91.29,91.7,90.62,91.41
2020,300000HOY004010,92.04,94.06,90.62,91.41
2021,300000HOY004010,92.04,94.06,90.62,91.41
1995,300000HONR01010,9.82,97.96,0.0,91.41
1996,300000HONR01010,9.82,97.96,0.0,91.41
1997,300000HONR01010,9.82,97.96,0.0,91.41
1998,300000HONR01010,9.82,97.96,0.0,91.41
1999,300000HONR01010,98.7,100.0,100.0,95.63
2000,300000HONR01010,98.7,100.0,100.0,95.63
2001,300000HONR01010,95.87,97.96,95.25,95.63
2002,300000HONR01010,95.87,97.96,95.25,95.63
2003,300000HONR01010,95.87,97.96,95.25,95.63
2004,300000HONR01010,95.87,97.96,95.25,95.63
2005,300000HONR01010,95.87,97.96,95.25,95.63
2006,300000HONR01010,95.87,97.96,95.25,95.63
2007,300000HONR01010,95.87,97.96,95.25,95.63
2008,300000HONR01010,95.87,97.96,95.25,95.63
2009,300000HONR01010,95.87,97.96,95.25,95.63
2010,300000HONR01010,95.87,97.96,95.25,95.63
2011,300000HONR01010,95.87,97.96,95.25,95.63
2012,300000HONR01010,95.87,97.96,95.25,95.63
2013,300000HONR01010,95.87,97.96,95.25,95.63
2014,300000HONR01010,95.87,97.96,95.25,95.63
2015,300000HONR01010,95.14,94.06,95.25,95.63
2016,300000HONR01010,95.14,94.06,95.25,95.63
2017,300000HONR01010,95.14,94.06,95.25,95.63
2018,300000HONR01010,95.14,94.06,95.25,95.63
2019,300000HONR01010,94.71,91.7,95.25,95.63
2020,300000HONR01010,94.71,91.7,95.25,95.63
2021,300000HONR01010,94.71,91.7,95.25,95.63
1995,300000H-Z040010,93.76,90.79,94.3,94.67
1996,300000H-Z040010,92.82,89.88,93.36,93.73
1997,300000H-Z040010,91.89,88.98,92.42,92.79
1998,300000H-Z040010,90.97,88.09,91.5,91.86
1999,300000H-Z040010,90.06,87.21,90.58,90.94
2000,300000H-Z040010,89.16,86.34,89.68,90.03
2001,300000H-Z040010,88.27,85.47,88.78,89.13
2002,300000H-Z040010,87.39,84.62,87.89,88.24
2003,300000H-Z040010,86.52,83.77,87.01,87.36
2004,300000H-Z040010,85.65,82.94,86.14,86.49
2005,300000H-Z040010,84.79,82.11,85.28,85.62
2006,300000H-Z040010,83.95,81.29,84.43,84.77
2007,300000H-Z040010,83.11,80.47,83.59,83.92
2008,300000H-Z040010,82.28,79.67,82.75,83.08
2009,300000H-Z040010,81.45,78.87,81.92,82.25
2010,300000H-Z040010,80.64,78.08,81.1,81.43
2011,300000H-Z040010,79.83,77.3,80.29,80.61
2012,300000H-Z040010,79.03,76.53,79.49,79.81
2013,300000H-Z040010,78.24,75.76,78.69,79.01
2014,300000H-Z040010,77.46,75.01,77.91,78.22
2015,300000H-Z040010,76.69,74.26,77.13,77.43
2016,300000H-Z040010,75.92,73.51,76.36,76.66
2017,300000H-Z040010,75.16,72.78,75.59,75.89
2018,300000H-Z040010,74.41,72.05,74.84,75.13
2019,300000H-Z040010,73.66,71.33,74.09,74.38
2020,300000H-Z040010,72.93,70.62,73.35,73.64
2021,300000H-Z040010,72.2,69.91,72.61,72.9
1995,300000H-X894010,95.44,97.96,99.87,91.41
1996,300000H-X894010,95.44,97.96,99.87,91.41
1997,300000H-X894010,93.23,94.06,95.25,91.41
1998,300000H-X894010,91.17,94.06,90.62,91.41
1999,300000H-X894010,91.17,94.06,90.62,91.41
2000,300000H-X894010,91.17,94.06,90.62,91.41
2001,300000H-X894010,89.17,94.06,95.25,83.5
2002,300000H-X894010,89.17,94.06,95.25,83.5
2003,300000H-X894010,89.17,94.06,95.25,83.5
2004,300000H-X894010,89.17,94.06,95.25,83.5
2005,300000H-X894010,95.4,94.06,95.25,95.63
2006,300000H-X894010,100.0,100.0,100.0,100.0
2007,300000H-X894010,100.0,100.0,100.0,100.0
2008,300000H-X894010,95.56,97.96,95.25,95.63
2009,300000H-X894010,93.39,97.96,95.25,91.41
2010,300000H-X894010,93.39,97.96,95.25,91.41
2011,300000H-X894010,93.39,97.96,95.25,91.41
2012,300000H-X894010,93.39,97.96,95.25,91.41
2013,300000H-X894010,91.34,97.96,90.62,91.41
2014,300000H-X894010,93.39,97.96,95.25,91.41
2015,300000H-X894010,93.39,97.96,95.25,91.41
2016,300000H-X894010,93.39,97.96,95.25,91.41
2017,300000H-X894010,91.34,97.96,90.62,91.41
2018,300000H-X894010,91.34,97.96,90.62,91.41
2019,300000H-X894010,91.34,97.96,90.62,91.41
2020,300000H-X894010,95.56,97.96,95.25,95.63
2021,300000H-X894010,95.56,97.96,95.25,95.63
1995,300000H-X890010,95.25,99.94,99.87,91.41
1996,300000H-X890010,95.25,99.94,99.87,91.41
1997,300000H-X890010,93.25,97.96,95.25,91.41
1998,300000H-X890010,91.17,94.06,90.62,91.41
1999,300000H-X890010,91.17,94.06,90.62,91.41
2000,300000H-X890010,91.17,94.06,90.62,91.41
2001,300000H-X890010,93.48,94.06,90.62,95.63
2002,300000H-X890010,93.11,94.06,95.25,91.41
2003,300000H-X890010,93.11,94.06,95.25,91.41
2004,300000H-X890010,93.11,94.06,95.25,91.41
2005,300000H-X890010,93.11,94.06,95.25,91.41
2006,300000H-X890010,93.11,94.06,95.25,91.41
2007,300000H-X890010,93.11,94.06,95.25,91.41
2008,300000H-X890010,93.11,94.06,95.25,91.41
2009,300000H-X890010,93.11,94.06,95.25,91.41
2010,300000H-X890010,88.93,97.96,95.25,83.5
2011,300000H-X890010,88.93,97.96,95.25,83.5
2012,300000H-X890010,88.93,97.96,95.25,83.5
2013,300000H-X890010,86.86,94.06,90.62,83.5
2014,300000H-X890010,86.86,94.06,90.62,83.5
2015,300000H-X890010,86.86,94.06,90.62,83.5
2016,300000H-X890010,86.86,94.06,90.62,83.5
2017,300000H-X890010,86.86,94.06,90.62,83.5
2018,300000H-X890010,86.86,94.06,90.62,83.5
2019,300000H-X890010,93.48,94.06,90.62,95.63
2020,300000H-X890010,93.48,94.06,90.62,95.63
2021,300000H-X890010,93.48,94.06,90.62,95.63
1995,300000H-X881010,99.88,99.94,99.87,100.0
1996,300000H-X881010,99.88,99.94,99.87,100.0
1997,300000H-X881010,95.31,97.96,95.25,91.41
1998,300000H-X881010,95.31,97.96,95.25,91.41
1999,300000H-X881010,91.21,97.96,90.62,91.41
2000,300000H-X881010,91.21,97.96,90.62,91.41
2001,300000H-X881010,91.38,97.96,90.62,95.63
2002,300000H-X881010,91.38,97.96,90.62,95.63
2003,300000H-X881010,91.38,97.96,90.62,95.63
2004,300000H-X881010,91.38,97.96,90.62,95.63
2005,300000H-X881010,95.47,97.96,95.25,95.63
2006,300000H-X881010,95.47,97.96,95.25,95.63
2007,300000H-X881010,95.47,97.96,95.25,95.63
2008,300000H-X881010,95.47,97.96,95.25,95.63
2009,300000H-X881010,91.38,97.96,90.62,95.63
2010,300000H-X881010,95.47,97.96,95.25,95.63
2011,300000H-X881010,95.47,97.96,95.25,95.63
2012,300000H-X881010,95.47,97.96,95.25,95.63
2013,300000H-X881010,91.38,97.96,90.62,95.63
2014,300000H-X881010,91.38,97.96,90.62,95.63
2015,300000H-X881010,91.38,97.96,90.62,95.63
2016,300000H-X881010,91.38,97.96,90.62,95.63
2017,300000H-X881010,95.18,94.06,95.25,95.63
2018,300000H-X881010,95.18,94.06,95.25,95.63
2019,300000H-X881010,95.18,94.06,95.25,95.63
2020,300000H-X881010,95.18,94.06,95.25,95.63
2021,300000H-X881010,95.18,94.06,95.25,95.63
1995,300000H-X878010,99.88,99.94,99.87,100.0
1996,300000H-X878010,99.88,99.94,99.87,100.0
1997,300000H-X878010,95.62,97.96,95.25,95.63
1998,300000H-X878010,95.62,97.96,95.25,95.63
1999,300000H-X878010,91.87,97.96,90.62,95.63
2000,300000H-X878010,91.87,97.96,90.62,95.63
2001,300000H-X878010,95.62,97.96,95.25,95.63
2002,300000H-X878010,95.62,97.96,95.25,95.63
2003,300000H-X878010,95.62,97.96,95.25,95.63
2004,300000H-X878010,95.62,97.96,95.25,95.63
2005,300000H-X878010,95.62,97.96,95.25,95.63
2006,300000H-X878010,95.62,97.96,95.25,95.63
2007,300000H-X878010,95.62,97.96,95.25,95.63
2008,300000H-X878010,95.62,97.96,95.25,95.63
2009,300000H-X878010,91.87,97.96,90.62,95.63
2010,300000H-X878010,91.87,97.96,90.62,95.63
2011,300000H-X878010,91.87,97.96,90.62,95.63
2012,300000H-X878010,91.87,97.96,90.62,95.63
2013,300000H-X878010,91.6,97.96,90.62,91.41
2014,300000H-X878010,91.6,97.96,90.62,91.41
2015,300000H-X878010,91.6,97.96,90.62,91.41
2016,300000H-X878010,91.6,97.96,90.62,91.41
2017,300000H-X878010,91.6,97.96,90.62,91.41
2018,300000H-X878010,91.6,97.96,90.62,91.41
2019,300000H-X878010,91.6,97.96,90.62,91.41
2020,300000H-X878010,91.6,97.96,90.62,91.41
2021,300000H-X878010,91.6,97.96,90.62,91.41
1995,300000H-X866010,99.91,99.94,99.87,100.0
1996,300000H-X866010,99.91,99.94,99.87,100.0
1997,300000H-X866010,95.55,97.96,95.25,95.63
1998,300000H-X866010,95.55,97.96,95.25,95.63
1999,300000H-X866010,94.28,97.96,95.25,91.41
2000,300000H-X866010,94.28,97.96,95.25,91.41
2001,300000H-X866010,94.28,97.96,95.25,91.41
2002,300000H-X866010,94.28,97.96,95.25,91.41
2003,300000H-X866010,94.28,97.96,95.25,91.41
2004,300000H-X866010,94.28,97.96,95.25,91.41
2005,300000H-X866010,94.28,97.96,95.25,91.41
2006,300000H-X866010,94.28,97.96,95.25,91.41
2007,300000H-X866010,94.28,97.96,95.25,91.41
2008,300000H-X866010,94.28,97.96,95.25,91.41
2009,300000H-X866010,91.35,97.96,90.62,91.41
2010,300000H-X866010,91.35,97.96,90.62,91.41
2011,300000H-X866010,91.35,97.96,90.62,91.41
2012,300000H-X866010,91.35,97.96,90.62,91.41
2013,300000H-X866010,91.09,94.06,90.62,91.41
2014,300000H-X866010,91.09,94.06,90.62,91.41
2015,300000H-X866010,91.09,94.06,90.62,91.41
2016,300000H-X866010,91.09,94.06,90.62,91.41
2017,300000H-X866010,91.09,94.06,90.62,91.41
2018,300000H-X866010,91.09,94.06,90.62,91.41
2019,300000H-X866010,91.09,94.06,90.62,91.41
2020,300000H-X866010,91.09,94.06,90.62,91.41
2021,300000H-X866010,91.09,94.06,90.62,91.41
1995,300000H-X859010,99.96,99.94,99.87,100.0
1996,300000H-X859010,99.96,99.94,99.87,100.0
1997,300000H-X859010,96.26,97.96,95.25,95.63
1998,300000H-X859010,96.26,97.96,95.25,95.63
1999,300000H-X859010,96.26,97.96,95.25,95.63
2000,300000H-X859010,96.26,97.96,95.25,95.63
2001,300000H-X859010,96.26,97.96,95.25,95.63
2002,300000H-X859010,96.26,97.96,95.25,95.63
2003,300000H-X859010,96.26,97.96,95.25,95.63
2004,300000H-X859010,96.26,97.96,95.25,95.63
2005,300000H-X859010,96.26,97.96,95.25,95.63
2006,300000H-X859010,96.26,97.96,95.25,95.63
2007,300000H-X859010,96.26,97.96,95.25,95.63
2008,300000H-X859010,96.26,97.96,95.25,95.63
2009,300000H-X859010,93.99,97.96,95.25,91.41
2010,300000H-X859010,93.99,97.96,95.25,91.41
2011,300000H-X859010,93.99,97.96,95.25,91.41
2012,300000H-X859010,93.99,97.96,95.25,91.41
2013,300000H-X859010,93.23,97.96,90.62,91.41
2014,300000H-X859010,93.23,97.96,90.62,91.41
2015,300000H-X859010,93.23,97.96,90.62,91.41
2016,300000H-X859010,93.23,97.96,90.62,91.41
2017,300000H-X859010,93.23,97.96,90.62,91.41
2018,300000H-X859010,93.23,97.96,90.62,91.41
2019,300000H-X859010,95.5,97.96,90.62,95.63
2020,300000H-X859010,95.5,97.96,90.62,95.63
2021,300000H-X859010,96.26,97.96,95.25,95.63
1995,300000H-X837010,99.66,97.96,99.87,100.0
1996,300000H-X837010,99.66,97.96,99.87,100.0
1997,300000H-X837010,94.74,94.06,95.25,91.41
1998,300000H-X837010,94.74,94.06,95.25,91.41
1999,300000H-X837010,95.6,97.96,95.25,95.63
2000,300000H-X837010,95.6,97.96,95.25,95.63
2001,300000H-X837010,95.6,97.96,95.25,95.63
2002,300000H-X837010,95.6,97.96,95.25,95.63
2003,300000H-X837010,95.6,97.96,95.25,95.63
2004,300000H-X837010,95.6,97.96,95.25,95.63
2005,300000H-X837010,95.6,97.96,95.25,95.63
2006,300000H-X837010,95.6,97.96,95.25,95.63
2007,300000H-X837010,95.6,97.96,95.25,95.63
2008,300000H-X837010,95.6,97.96,95.25,95.63
2009,300000H-X837010,91.55,97.96,90.62,91.41
2010,300000H-X837010,95.19,97.96,95.25,91.41
2011,300000H-X837010,95.19,97.96,95.25,91.41
2012,300000H-X837010,95.19,97.96,95.25,91.41
2013,300000H-X837010,90.78,97.96,90.62,83.5
2014,300000H-X837010,91.55,97.96,90.62,91.41
2015,300000H-X837010,91.55,97.96,90.62,91.41
2016,300000H-X837010,91.55,97.96,90.62,91.41
2017,300000H-X837010,91.55,97.96,90.62,91.41
2018,300000H-X837010,91.55,97.96,90.62,91.41
2019,300000H-X837010,91.55,97.96,90.62,91.41
2020,300000H-X837010,91.55,97.96,90.62,91.41
2021,300000H-X837010,94.74,94.06,95.25,91.41
1995,300000H-X799010,93.31,99.94,90.62,100.0
1996,300000H-X799010,93.31,99.94,90.62,100.0
1997,300000H-X799010,95.69,97.96,95.25,95.63
1998,300000H-X799010,95.69,97.96,95.25,95.63
1999,300000H-X799010,95.69,97.96,95.25,95.63
2000,300000H-X799010,95.69,97.96,95.25,95.63
2001,300000H-X799010,95.69,97.96,95.25,95.63
2002,300000H-X799010,95.69,97.96,95.25,95.63
2003,300000H-X799010,95.69,97.96,95.25,95.63
2004,300000H-X799010,95.69,97.96,95.25,95.63
2005,300000H-X799010,95.69,97.96,95.25,95.63
2006,300000H-X799010,95.69,97.96,95.25,95.63
